Unique_id,Station_Name,Street_Address,City,States,Zip_Code,Groups_With_Access_Code,Access_Days_Time,Geocode_Status,Latitude,Longitude,Date_Last_Confirmed,Updated_At,Open_Date
102483,"Aberdeen, WA - Tesla Supercharger",416 Wishkah Street,Aberdeen,WA,98520,Public,24 hours daily; for Tesla use only,GPS,46.976679,-123.813485,2021-10-11,2021-11-04 18:37:47 UTC,2017-01-15
191770,"Walmart 2037 (Aberdeen, WA)",909 E Wishkah St,Aberdeen,WA,98520,Public,24 hours daily,GPS,46.976416,-123.807081,2022-07-25,2022-07-25 01:36:20 UTC,2021-07-03
155375,STCU Airway Heights,10811 US-2,Airway Heights,WA,99001,Public,24 hours daily,GPS,47.642243,-117.561147,2020-05-06,2021-12-02 18:49:53 UTC,2020-04-10
147673,"Walgreens - Anacortes, WA #7131",909 17th Street,Anacortes,WA,98221,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,GPS,48.508154,-122.611842,2022-07-25,2022-07-25 00:31:01 UTC,2012-03-01
147675,Island Hospital Behind M.O.B. Building,1211 24th Street,Anacortes,WA,98221,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,GPS,48.5006578,-122.6159562,2022-07-25,2022-07-25 00:31:01 UTC,2015-07-14
150675,Majestic Inn & Spa - Tesla Destination,419 Commercial Ave,Anacortes,WA,98221,Public,24 hours daily; for customer use only; see front desk for access,200-9,48.51854,-122.612146,2020-11-03,2021-03-11 23:22:17 UTC,2019-09-30
158636,Anacortes Public Parking,559 Q Ave,Anacortes,WA,98221,Public,24 hours daily,GPS,48.517768,-122.610743,2020-07-13,2022-07-18 04:23:31 UTC,2020-06-05
185648,SAMISH NATION CANNERY SOUTH 1,715 Seafarers Way,Anacortes,WA,98221,Public,24 hours daily,GPS,48.51004,-122.608116,2022-07-25,2022-07-25 01:17:07 UTC,2021-03-06
185649,SAMISH NATION CANNERY SOUTH 2,715 Seafarers Way,Anacortes,WA,98221,Public,24 hours daily,GPS,48.510044,-122.608185,2022-07-25,2022-07-25 01:17:07 UTC,2021-03-06
194585,Safeway 911 11thSt,911 11th St,Anacortes,WA,98221,Public - Credit card at all times,24 hours daily,GPS,48.5127157,-122.6117844,2022-05-05,2022-05-05 20:22:04 UTC,2021-08-26
195114,1203 Parking Lot,1203 26th Street,Anacortes,WA,98221,Public,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,GPS,48.5012896,-122.6152529,2022-07-25,2022-07-25 00:31:01 UTC,2021-09-05
211746,ANACORTESEV N CH WEST EV1,5TH Q Ave,Anacortes,WA,98221,Public,24 hours daily,GPS,48.518102,-122.611203,2022-07-25,2022-07-25 01:26:26 UTC,2022-03-15
211747,ANACORTESEV N CH WEST EV#2,5TH Q Ave,Anacortes,WA,98221,Public,24 hours daily,GPS,48.518179,-122.611202,2022-07-25,2022-07-25 01:26:26 UTC,2022-03-15
212998,ANACORTESEV LIBRARY EV,M Ave. and 9th near Library,Anacortes,WA,98221,Public,24 hours daily,GPS,48.514381,-122.616919,2022-07-25,2022-07-25 01:26:44 UTC,2022-03-27
