County_id,County
countyid-2,Adams
countyid-3,Asotin
countyid-4,Benton
countyid-5,Chelan
countyid-6,Clallam
countyid-7,Clark
countyid-8,Cowlitz
countyid-9,Cumberland
countyid-10,Douglas
countyid-11,Franklin
countyid-12,Grant
countyid-13,Grays Harbor
countyid-14,Hardin
countyid-15,Harnett
countyid-16,Island
countyid-17,Jefferson
countyid-18,King
countyid-19,Kitsap
countyid-20,Kittitas
countyid-21,Klickitat
countyid-22,Lake
countyid-23,Lewis
countyid-24,Mason
countyid-25,Okanogan
countyid-26,Orange
countyid-27,Pacific
countyid-28,Pierce
countyid-29,San Diego
countyid-30,San Juan
countyid-31,Sarpy
countyid-32,Skagit
countyid-33,Skamania
countyid-34,Snohomish
countyid-35,Spokane
countyid-36,Spotsylvania
countyid-37,Stevens
countyid-38,Thurston
countyid-39,Wahkiakum
countyid-40,Walla Walla
countyid-41,Whatcom
countyid-42,Whitman
countyid-43,Yakima
