Facility_Id,City,States,Zip_Code,Address,County,Industry_Type_Sectors,Total_reported_direct_emissions,CO2_emissions_nonbiogenic,Methane_CH4_emissions
1002804,Othello,WA,99344,1201 N BROADWAY AVE,Adams,"Other,Waste",112190.008,50977.4,61184
1002287,Othello,WA,99344,100 LEE STREET,Adams,"Other,Waste",75786.162,55798.3,19937.5
1004236,Kennewick,WA,99337,227515 E BOWLES ROAD,Benton,Chemicals,142910.896,9554.8,0.5
1000614,Richland,WA,99352,2013 SAINT STREET,Benton,"Other,Waste",81536.458,59802.9,21660.25
1010830,Richland,WA,99354,2420 Stevens Center Place,Benton,"Other,Waste",29923.782,21242.9,8633.5
1004746,Camas,WA,98607,4200 NW PACIFIC RIM BLVD,Clark,Other,18988.73018,2173.1,1
1005998,Camas,WA,98607,401 NE ADAMS STREET,Clark,"Other,Waste",49560.984,43915.5,5620.75
1009361,Camas,WA,98607,5509 NW Parker St.,Clark,Other,98159.77577,14277.8,6.75
1001133,Vancouver,WA,98660,5201 N W LOWER RIVER ROAD,Clark,Power Plants,653927.776,653263.6,303
1009215,Washougal,WA,98671,1309 NE Brown Road,Clark,Petroleum and Natural Gas Systems,11198.014,9623.4,1569.25
1003518,Kalama,WA,98625,1296 NORTHWEST 3RD STREET,Cowlitz,Chemicals,65309.104,65241.7,30.75
1001435,Longview,WA,98632,1200 Prudential Blvd,Cowlitz,Power Plants,659361.356,658691.7,305.5
1006360,Longview,WA,98632,3401 INDUSTRIAL WAY,Cowlitz,Pulp and Paper,368372.166,360754.4,1645.25
1012181,Longview,WA,98632,3001 Industrial Way,Cowlitz,Pulp and Paper,42740.44,42696.6,20
1006454,Longview,WA,98632,300 FIBRE WAY,Cowlitz,Pulp and Paper,209295.436,203017.6,1209.75
1000607,Connell,WA,99326,811 GUM STREET,Franklin,Other,30212.336,30181.1,14.25
1000611,Pasco,WA,99301,960 GLADE ROAD NORTH,Franklin,Other,39066.452,39025.9,18.5
1014653,Pasco,WA,99301,5526 N Capitol Ave,Franklin,Other,2480.64,2477.9,1.25
